"Timestamp","What is your gender? ","  What is your age range?  ","What level are you currently in?  ","What is your current CGPA range?  ","How many courses have you failed or are carrying over? ","What is your father's highest level of education?  ","What is your mother's highest level of education?","What is your family's approximate monthly income level?  ","How many people are financially dependent in your household (including you)?  ","How involved are your parents/guardians in your academic progress?  ","On average, how many hours do you spend studying per day (outside class)?  ","How often do you attend lectures?  ","How often do you read ahead before class?  ","How often do you use academic resources? (library, online journals, YouTube tutorials etc.)  ","How many hours do you sleep on average per night? ","Do you participate actively in group study or discussions?  ","How often do you practice past exam questions?  ","Do you engage in any part-time work or business while schooling?  ","How far do you live from your campus?  ","How stable is your internet access?  ","How would you describe your financial situation as a student?  ","Do you engage in extracurricular activities? (sports, fellowship, clubs etc.) ","How much do your family responsibilities affect your studies?  ","How would you rate your mental health and stress level as a student? ","Are you studying your current course out of personal interest? ","How would you rate your overall motivation to succeed academically?  ","How would you rate your own academic performance overall?  "
"2026/04/03 3:16:38 PM GMT+1","Female","16 – 19","300 Level","3.5 – 4.4 (Second Class Upper)","1 – 2","OND / NCE","Postgraduate (MSc / PhD)","₦300,000 – ₦500,000","1 – 3","Very involved — they follow up regularly","Less than 1 hour","Always (90–100%)","Sometimes","Rarely","4 – 6 hours","Occasionally","Always before exams","Occasionally (1 – 2 days a week)","Less than 30 minutes away","Mostly stable","Manageable — sometimes tight","No","Moderately","High — it affects my studies","No — it was parental/family pressure","Very high","Average"
"2026/04/03 3:34:27 PM GMT+1","Male","16 – 19","300 Level","3.5 – 4.4 (Second Class Upper)","None","Bachelor's degree","Bachelor's degree","Above ₦500,000","More than 10","Somewhat involved","Less than 1 hour","Sometimes (50–69%)","Rarely","Rarely","4 – 6 hours","Occasionally","Sometimes","Occasionally (1 – 2 days a week)","On campus","I rarely have internet access","Manageable — sometimes tight","Yes, heavily involved","Not at all","Moderate — manageable","Partially — some interest","High","Average"
"2026/04/03 5:22:40 PM GMT+1","Female","16 – 19","300 Level","3.5 – 4.4 (Second Class Upper)","None","Postgraduate (MSc / PhD)","OND / NCE","Above ₦500,000","4 – 6","Very involved — they follow up regularly","3 – 4 hours","Always (90–100%)","Always","Very often","6 – 8 hours","Yes, regularly","Always before exams","Occasionally (1 – 2 days a week)","On campus","Unstable","Manageable — sometimes tight","Occasionally","Slightly","Moderate — manageable","Partially — some interest","High","Good"
"2026/04/03 5:36:29 PM GMT+1","Male","16 – 19","600 Level","4.5 – 5.0 (First Class)","More than 5","Postgraduate (MSc / PhD)","OND / NCE","Above ₦500,000","7 – 10","Very involved — they follow up regularly","3 – 4 hours","Often (70–89%)","Always","Rarely","Less than 4 hours","Occasionally","Sometimes","No","On campus","Unstable","Manageable — sometimes tight","Occasionally","Not at all","Moderate — manageable","Partially — some interest","High","Good"
"2026/04/03 5:51:53 PM GMT+1","Female","20 – 23","400 Level","3.5 – 4.4 (Second Class Upper)","None","Secondary school","Secondary school","₦150,000 – ₦300,000","7 – 10","Very involved — they follow up regularly","1 – 2 hours","Always (90–100%)","Rarely","Rarely","4 – 6 hours","Occasionally","Sometimes","No","On campus","Unstable","Difficult — it regularly affects my studies","No","Slightly","High — it affects my studies","No — I had no other choice","Very high","Excellent"
"2026/04/03 6:12:32 PM GMT+1","Female","16 – 19","300 Level","1.5 – 2.4 (Third Class)","3 – 5","Postgraduate (MSc / PhD)","Postgraduate (MSc / PhD)","Above ₦500,000","4 – 6","Somewhat involved","3 – 4 hours","Often (70–89%)","Rarely","Sometimes","Less than 4 hours","Occasionally","Always before exams","No","On campus","Unstable","Manageable — sometimes tight","Occasionally","Slightly","High — it affects my studies","Partially — some interest","High","Average"
"2026/04/03 6:46:21 PM GMT+1","Female","20 – 23","200 Level","3.5 – 4.4 (Second Class Upper)","None","OND / NCE","Bachelor's degree","Above ₦500,000","4 – 6","Somewhat involved","Less than 1 hour","Often (70–89%)","Rarely","Sometimes","6 – 8 hours","Yes, regularly","Sometimes","Yes, regularly (more than 3 days a week)","On campus","Unstable","Manageable — sometimes tight","Yes, heavily involved","Slightly","Moderate — manageable","Partially — some interest","Very high","Excellent"
"2026/04/03 6:53:49 PM GMT+1","Female","20 – 23","300 Level","3.5 – 4.4 (Second Class Upper)","1 – 2","OND / NCE","OND / NCE","Above ₦500,000","7 – 10","Very involved — they follow up regularly","3 – 4 hours","Always (90–100%)","Sometimes","Very often","6 – 8 hours","No","Always before exams","No","More than 1 hour away","Mostly stable","Comfortable — I rarely worry about money","No","Not at all","Moderate — manageable","Yes, it's my passion","Very high","Good"
"2026/04/03 7:13:56 PM GMT+1","Female","16 – 19","200 Level","4.5 – 5.0 (First Class)","None","OND / NCE","Postgraduate (MSc / PhD)","Above ₦500,000","More than 10","Very involved — they follow up regularly","1 – 2 hours","Always (90–100%)","Rarely","Very often","6 – 8 hours","Occasionally","Always before exams","No","On campus","Mostly stable","Manageable — sometimes tight","Yes, heavily involved","Not at all","Low — I cope very well","Yes, it's my passion","Very high","Excellent"
"2026/04/03 7:23:53 PM GMT+1","Male","16 – 19","200 Level","4.5 – 5.0 (First Class)","1 – 2","Secondary school","Bachelor's degree","Above ₦500,000","1 – 3","Very involved — they follow up regularly","1 – 2 hours","Often (70–89%)","Rarely","Sometimes","More than 8 hours","Yes, regularly","Always before exams","Yes, regularly (more than 3 days a week)","On campus","Unstable","Manageable — sometimes tight","Occasionally","Significantly","Moderate — manageable","Partially — some interest","Very high","Good"
"2026/04/04 9:51:41 AM GMT+1","Male","16 – 19","300 Level","3.5 – 4.4 (Second Class Upper)","None","Bachelor's degree","Secondary school","₦300,000 – ₦500,000","1 – 3","Somewhat involved","Less than 1 hour","Always (90–100%)","Sometimes","Sometimes","4 – 6 hours","No","Always before exams","Occasionally (1 – 2 days a week)","Less than 30 minutes away","Mostly stable","Manageable — sometimes tight","Yes, heavily involved","Not at all","Low — I cope very well","Yes, it's my passion","Very high","Good"
"2026/04/04 10:02:55 AM GMT+1","Male","16 – 19","100 Level","4.5 – 5.0 (First Class)","None","Primary school","Bachelor's degree","Above ₦500,000","More than 10","Very involved — they follow up regularly","3 – 4 hours","Always (90–100%)","Sometimes","Very often","4 – 6 hours","Occasionally","Always before exams","No","30 minutes – 1 hour away","Mostly stable","Manageable — sometimes tight","Occasionally","Moderately","Moderate — manageable","Yes, it's my passion","Very high","Excellent"
"2026/04/04 10:42:27 AM GMT+1","Male","20 – 23","600 Level","4.5 – 5.0 (First Class)","None","Postgraduate (MSc / PhD)","Postgraduate (MSc / PhD)","Above ₦500,000","4 – 6","Very involved — they follow up regularly","More than 4 hours","Always (90–100%)","Always","Very often","Less than 4 hours","Yes, regularly","Always before exams","Occasionally (1 – 2 days a week)","30 minutes – 1 hour away","Very stable","Comfortable — I rarely worry about money","Yes, heavily involved","Slightly","Low — I cope very well","Yes, it's my passion","Very high","Excellent"
"2026/04/04 10:44:28 AM GMT+1","Male","16 – 19","300 Level","2.5 – 3.4 (Second Class Lower)","3 – 5","Postgraduate (MSc / PhD)","Bachelor's degree","Above ₦500,000","1 – 3","Somewhat involved","Less than 1 hour","Sometimes (50–69%)","Rarely","Sometimes","Less than 4 hours","Occasionally","Sometimes","Occasionally (1 – 2 days a week)","On campus","Unstable","Difficult — it regularly affects my studies","Occasionally","Moderately","Very high — I struggle regularly","No — it was parental/family pressure","Low","Average"
"2026/04/04 11:01:33 AM GMT+1","Female","24 – 27","600 Level","4.5 – 5.0 (First Class)","None","Bachelor's degree","Bachelor's degree","Above ₦500,000","1 – 3","Very involved — they follow up regularly","1 – 2 hours","Always (90–100%)","Sometimes","Very often","6 – 8 hours","Yes, regularly","Always before exams","No","On campus","Unstable","Comfortable — I rarely worry about money","Occasionally","Not at all","High — it affects my studies","Yes, it's my passion","Very high","Good"
"2026/04/04 11:03:02 AM GMT+1","Male","24 – 27","600 Level","3.5 – 4.4 (Second Class Upper)","1 – 2","Bachelor's degree","OND / NCE","Above ₦500,000","4 – 6","Somewhat involved","Less than 1 hour","Often (70–89%)","Never","Very often","Less than 4 hours","Occasionally","Sometimes","No","On campus","Unstable","Comfortable — I rarely worry about money","Occasionally","Not at all","Very high — I struggle regularly","No — I had no other choice","Moderate","Good"
"2026/04/04 11:09:07 AM GMT+1","Female","20 – 23","300 Level","4.5 – 5.0 (First Class)","None","Bachelor's degree","Bachelor's degree","Above ₦500,000","1 – 3","Very involved — they follow up regularly","More than 4 hours","Often (70–89%)","Sometimes","Sometimes","4 – 6 hours","Occasionally","Always before exams","Occasionally (1 – 2 days a week)","On campus","Mostly stable","Manageable — sometimes tight","No","Not at all","Moderate — manageable","Partially — some interest","Very high","Good"
"2026/04/04 11:10:43 AM GMT+1","Female","20 – 23","400 Level","2.5 – 3.4 (Second Class Lower)","1 – 2","Postgraduate (MSc / PhD)","OND / NCE","Above ₦500,000","1 – 3","Very involved — they follow up regularly","Less than 1 hour","Often (70–89%)","Never","Never","6 – 8 hours","No","Never","Yes, regularly (more than 3 days a week)","On campus","Unstable","Manageable — sometimes tight","Yes, heavily involved","Not at all","Very high — I struggle regularly","Yes, it's my passion","Moderate","Poor"
